mission_id,mission_title,task_label,tier,content,page_type
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Prethinking-Ideas,A,This reminds me of how structural injustice can show up in ways we don’t expect.,Prethinking-Ideas
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Prethinking-Ideas,B,This reminds me of how real-world application can show up in ways we don’t expect.,Prethinking-Ideas
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Prethinking-Ideas,C,I’d remix this to explore how systems thinking impacts my community.,Prethinking-Ideas
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Prethinking-Questions,A,I’d remix this to explore how ethical design impacts my community.,Prethinking-Questions
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Prethinking-Questions,B,This reminds me of how structural injustice can show up in ways we don’t expect.,Prethinking-Questions
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Prethinking-Questions,C,This task made me think about how math connects to statistical insight in the real world.,Prethinking-Questions
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Reflection,A,I’d remix this to explore how creative remix impacts my community.,Reflection
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Reflection,B,This reminds me of how statistical insight can show up in ways we don’t expect.,Reflection
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Reflection,C,This reminds me of how systems thinking can show up in ways we don’t expect.,Reflection
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Remix,A,This task made me think about how math connects to creative remix in the real world.,Remix
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Remix,B,This task made me think about how math connects to calculus reasoning in the real world.,Remix
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Remix,C,This reminds me of how statistical insight can show up in ways we don’t expect.,Remix
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 1,A,This reminds me of how systems thinking can show up in ways we don’t expect.,Task 1
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 1,B,This task made me think about how math connects to calculus reasoning in the real world.,Task 1
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 1,C,This reminds me of how student agency can show up in ways we don’t expect.,Task 1
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 2,A,This reminds me of how systems thinking can show up in ways we don’t expect.,Task 2
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 2,B,This task made me think about how math connects to systems thinking in the real world.,Task 2
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 2,C,This reminds me of how equity in access can show up in ways we don’t expect.,Task 2
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 3,A,This reminds me of how student agency can show up in ways we don’t expect.,Task 3
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 3,B,This reminds me of how creative remix can show up in ways we don’t expect.,Task 3
17df3646-3365-4eff-aa0e-40d826afeceb,Access to Healthcare: A Multidisciplinary Approach,Task 3,C,This reminds me of how systems thinking can show up in ways we don’t expect.,Task 3
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Prethinking-Ideas,A,"I’m starting to see calculus as a language for acceleration, not just movement...",
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Prethinking-Ideas,B,This makes me think about how fast things grow or shrink — not just how much...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Prethinking-Ideas,C,I know bacteria grow fast and keep going until something stops them...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Prethinking-Questions,A,What’s the difference between a rate and an accumulation — and how do we know...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Prethinking-Questions,B,How do we know how fast something is changing if we don’t have a formula?,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Prethinking-Questions,C,Why does stuff grow so fast sometimes?,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Reflection,A,This experience made me realize that healthcare access is not just a logistics issue...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Reflection,B,This mission helped me understand how healthcare is about more than just having a hospital...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Reflection,C,I didn’t know that some people have to go really far just to see a doctor...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Remix,A,I would remix this mission to analyze maternal health deserts across the U.S...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Remix,B,I’d remix this to study health access for people living in shelters...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Remix,C,I would use this to help kids in schools. Some schools don’t have nurses...,
