mission_id,task_label,task_id,tier,content,response_type,user_id,created_at
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Prethinking-Ideas,e9c4052e0703,A,"This task made me think about how math connects to pattern recognition in the real world.",Prethinking-Ideas,exemplar-seed,2025-05-07T13:00:00.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Prethinking-Ideas,e9c4052e0703,B,"This reminds me of how equity in access can show up in ways we don’t expect.",Prethinking-Ideas,exemplar-seed,2025-05-07T13:00:01.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Prethinking-Ideas,e9c4052e0703,C,"This task made me think about how math connects to student agency in the real world.",Prethinking-Ideas,exemplar-seed,2025-05-07T13:00:02.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Prethinking-Questions,4c8013589cbb,A,"I’d remix this to explore how real-world application impacts my community.",Prethinking-Questions,exemplar-seed,2025-05-07T13:00:03.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Prethinking-Questions,4c8013589cbb,B,"This task made me think about how math connects to student agency in the real world.",Prethinking-Questions,exemplar-seed,2025-05-07T13:00:04.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Prethinking-Questions,4c8013589cbb,C,"I’d remix this to explore how systems thinking impacts my community.",Prethinking-Questions,exemplar-seed,2025-05-07T13:00:05.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Reflection,5e7923a3b676,A,"I’d remix this to explore how ethical design impacts my community.",Reflection,exemplar-seed,2025-05-07T13:00:06.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Reflection,5e7923a3b676,B,"This reminds me of how equity in access can show up in ways we don’t expect.",Reflection,exemplar-seed,2025-05-07T13:00:07.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Reflection,5e7923a3b676,C,"This reminds me of how ethical design can show up in ways we don’t expect.",Reflection,exemplar-seed,2025-05-07T13:00:08.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Remix,cfb5d8180a9c,A,"This task made me think about how math connects to pattern recognition in the real world.",Remix,exemplar-seed,2025-05-07T13:00:09.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Remix,cfb5d8180a9c,B,"This reminds me of how pattern recognition can show up in ways we don’t expect.",Remix,exemplar-seed,2025-05-07T13:00:10.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Remix,cfb5d8180a9c,C,"This task made me think about how math connects to pattern recognition in the real world.",Remix,exemplar-seed,2025-05-07T13:00:11.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 1,a70e5d92f3c9,A,"I’d remix this to explore how calculus reasoning impacts my community.",Task 1,exemplar-seed,2025-05-07T13:00:12.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 1,a70e5d92f3c9,B,"This task made me think about how math connects to pattern recognition in the real world.",Task 1,exemplar-seed,2025-05-07T13:00:13.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 1,a70e5d92f3c9,C,"This reminds me of how student agency can show up in ways we don’t expect.",Task 1,exemplar-seed,2025-05-07T13:00:14.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 2,29a948b6fd47,A,"This task made me think about how math connects to pattern recognition in the real world.",Task 2,exemplar-seed,2025-05-07T13:00:15.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 2,29a948b6fd47,B,"I’d remix this to explore how creative remix impacts my community.",Task 2,exemplar-seed,2025-05-07T13:00:16.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 2,29a948b6fd47,C,"This task made me think about how math connects to structural injustice in the real world.",Task 2,exemplar-seed,2025-05-07T13:00:17.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 3,122e3038d1a3,A,"This task made me think about how math connects to systems thinking in the real world.",Task 3,exemplar-seed,2025-05-07T13:00:18.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 3,122e3038d1a3,B,"This reminds me of how statistical insight can show up in ways we don’t expect.",Task 3,exemplar-seed,2025-05-07T13:00:19.000Z
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Task 3,122e3038d1a3,C,"I’d remix this to explore how equity in access impacts my community.",Task 3,exemplar-seed,2025-05-07T13:00:20.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Prethinking-Ideas,a45a6d6fdb18,A,"This reminds me of how structural injustice can show up in ways we don’t expect.",Prethinking-Ideas,exemplar-seed,2025-05-07T13:01:00.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Prethinking-Ideas,a45a6d6fdb18,B,"This reminds me of how real-world application can show up in ways we don’t expect.",Prethinking-Ideas,exemplar-seed,2025-05-07T13:01:01.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Prethinking-Ideas,a45a6d6fdb18,C,"I’d remix this to explore how systems thinking impacts my community.",Prethinking-Ideas,exemplar-seed,2025-05-07T13:01:02.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Prethinking-Questions,924d67eaa95b,A,"I’d remix this to explore how ethical design impacts my community.",Prethinking-Questions,exemplar-seed,2025-05-07T13:01:03.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Prethinking-Questions,924d67eaa95b,B,"This reminds me of how structural injustice can show up in ways we don’t expect.",Prethinking-Questions,exemplar-seed,2025-05-07T13:01:04.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Prethinking-Questions,924d67eaa95b,C,"This task made me think about how math connects to statistical insight in the real world.",Prethinking-Questions,exemplar-seed,2025-05-07T13:01:05.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Reflection,61850b4f6c02,A,"I’d remix this to explore how creative remix impacts my community.",Reflection,exemplar-seed,2025-05-07T13:01:06.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Reflection,61850b4f6c02,B,"This reminds me of how statistical insight can show up in ways we don’t expect.",Reflection,exemplar-seed,2025-05-07T13:01:07.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Reflection,61850b4f6c02,C,"This reminds me of how systems thinking can show up in ways we don’t expect.",Reflection,exemplar-seed,2025-05-07T13:01:08.000Z
17df3646-3365-4eff-aa0e-40d826afeceb,Remix,1781a58c1c9f,A,"This task made me think about how math connects to creative remix in the real world.",Remix,exemplar-seed,2025-05-07T13:01:09.000Z
